"","sample_ID","species","tissue","time"
"JM13_nfu_skin_39_weeks","JM13_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM131_nfu_brain_39_weeks","JM131_nfu_brain_39_weeks","nfu","brain","39weeks"
"JM15_nfu_liver_39_weeks","JM15_nfu_liver_39_weeks","nfu","liver","39weeks"
"JM15_nfu_skin_39_weeks","JM15_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM151_nfu_brain_39_weeks","JM151_nfu_brain_39_weeks","nfu","brain","39weeks"
"JM18_nfu_liver_39_weeks","JM18_nfu_liver_39_weeks","nfu","liver","39weeks"
"JM18_nfu_skin_39_weeks","JM18_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM181_nfu_brain_39_weeks","JM181_nfu_brain_39_weeks","nfu","brain","39weeks"
"JM24_nfu_skin_39_weeks","JM24_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM241_nfu_skin_39_weeks","JM241_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM381_nfu_skin_39_weeks","JM381_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM385_nfu_brain_39_weeks","JM385_nfu_brain_39_weeks","nfu","brain","39weeks"
"JM411_nfu_skin_39_weeks","JM411_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM415_nfu_brain_39_weeks","JM415_nfu_brain_39_weeks","nfu","brain","39weeks"
"JM461_nfu_skin_39_weeks","JM461_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM521_nfu_brain_27_weeks","JM521_nfu_brain_27_weeks","nfu","brain","27weeks"
"JM55_nfu_skin_27_weeks","JM55_nfu_skin_27_weeks","nfu","skin","27weeks"
"JM61_nfu_liver_27_weeks","JM61_nfu_liver_27_weeks","nfu","liver","27weeks"
"JM61_nfu_skin_39_weeks","JM61_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM62_nfu_skin_27_weeks","JM62_nfu_skin_27_weeks","nfu","skin","27weeks"
"JM621_nfu_brain_27_weeks","JM621_nfu_brain_27_weeks","nfu","brain","27weeks"
"JM65_nfu_brain_39_weeks","JM65_nfu_brain_39_weeks","nfu","brain","39weeks"
"JM661_nfu_brain_27_weeks","JM661_nfu_brain_27_weeks","nfu","brain","27weeks"
"JM69_nfu_liver_27_weeks","JM69_nfu_liver_27_weeks","nfu","liver","27weeks"
"JM691_nfu_brain_27_weeks","JM691_nfu_brain_27_weeks","nfu","brain","27weeks"
"JM72_nfu_liver_27_weeks","JM72_nfu_liver_27_weeks","nfu","liver","27weeks"
"JM72_nfu_skin_27_weeks","JM72_nfu_skin_27_weeks","nfu","skin","27weeks"
"JM721_nfu_brain_27_weeks","JM721_nfu_brain_27_weeks","nfu","brain","27weeks"
"JM74_nfu_liver_27_weeks","JM74_nfu_liver_27_weeks","nfu","liver","27weeks"
"JM74_nfu_skin_27_weeks","JM74_nfu_skin_27_weeks","nfu","skin","27weeks"
"JM81_nfu_skin_39_weeks","JM81_nfu_skin_39_weeks","nfu","skin","39weeks"
"JM83_nfu_liver_27_weeks","JM83_nfu_liver_27_weeks","nfu","liver","27weeks"
"JM83_nfu_skin_27_weeks","JM83_nfu_skin_27_weeks","nfu","skin","27weeks"
"JM85_nfu_brain_39_weeks","JM85_nfu_brain_39_weeks","nfu","brain","39weeks"
